key,title,keywords,abstract_preview,suggested_category,notes
"Ng,Imp_2023","Implementing Sustainability Strategies, Programs, and Practices for the Communities in Higher Education Institutions: Case Study in USM, Malaysia",Education for Sustainable Development; Higher education Institutions; Implementation; Professional development; Sustainability,One of the best approaches to cultivate and spread the culture and practice of sustainability and sustainable development (SD) is through higher education institutions (HEIs) or universities. HEIs play an important role as the communities mainly comprise youth as students who will be the future lead,,
CheRet_2025,Rethinking talent cultivation for carbon neutrality: a case study of higher education reform in China,Dual carbon goals; talent cultivation; educational transformation; PATHWAYS,"China’s “dual carbon” goals necessitate reforms in the higher education system to cultivate interdisciplinary talents with green development competencies. While existing literature predominantly focuses on carbon neutrality technologies, policy pathways, as well as educational investments and return",,
BarSus_2025,Sustainability and Higher Education: Latin American Perspectives,Education for sustainable development; Environmental education; Higher education; Latin American Environmental Thinking; Sustainability; Regional planning; Sustainable development goals; Teaching; Education for sustainable development; Environmental crisis; Environmental education; High educations; Higher education institutions; Latin american environmental thinking; Latin americans; Participatory action research; Sustainability education; Sustainable educations; Sustainable development,"In the Latin American context, the role of education for the necessary transformation has been addressed since the 1960s from different approaches, including Latin American Environmental Education (LAEE) and Latin American Environmental Thinking (PAL). Regional discussions have important implication",,
WelSys_2025,Systematic Integration of Sustainable Development into Curriculum: Insights and Actions from a Baseline Study at the University of Gothenburg,Curricula; Higher education; Sustainability; Systematic integration,"Systematic integration of sustainability into curricula has remained a concern for higher education institutions. This concern has been challenging due to the complex interplay of institutional structures, diverse academic disciplines, and entrenched pedagogical traditions. The challenges are divers",,
ZinMun_2017,Munich University of Applied Sciences Towards a â€œWhole Institution Approachâ€â€”Illustrations Along x-Disciplinary Perspectives to Education for Sustainable Development,Education for sustainable development (ESD); Interdisciplinarity; Monodisciplinarity; Morphological box; Multidisciplinarity; Munich University of Applied Sciences (MUAS); Transdisciplinarity; Whole institution approach; x-Disciplinarity,"Munich University of Applied Sciences (MUAS) is developing education for sustainable development (ESD) as a strategic issue and based on a sound methodology, in contrast to a one-off effort as most fashionable short term projects and pick and mix approaches. Thereby MUAS follows a long term developm",,
KhaPre_2023,Preparing Future-Fit Leaders for the Sustainable Development Era,2030 Agenda; 21st Century skills; ACT model; Adaptive leadership; Collaborative leadership; Curriculum of the future; Education for sustainable development; Praxis; Regenerative leadership system; Reorienting higher education; SDG leadership labs; Sustainable development era; Sustainable development goals; Systems leadership; Systems thinking; Systems transformation; United Nations leadership; University of the Future,Higher education institutions (HEIs) need to place solving the world’s most pressing challenges at the centre of their mission so that the complex problems of the Sustainable Development Era (SDE) become the driving force for what and how students learn. This chapter explains the necessity of reorie,,
OsmThe_2017,The Sustainability Journey of USM: Solution Oriented Campus Ecosphere for Vitalising Higher Education Action on GAP,Education for sustainable development (ESD); Higher education institution; Institutional development; University communities,"Grappling with the challenges of sustainable development will require a total change in the way we interact with the ecosystems that support our lives and the people we live with. This means that all individuals and societies must be equipped with knowledge, skills, perspectives, values and issues t",,
MesBet_2025,Between Rhetoric and Reality of Sustainability Education in Portuguese Tourism Degrees: Challenges and Opportunities for Curriculum Reform,Sustainable development; Sustainable development goals; Teaching; Tourism; Academic course; Academic program; Curriculum reform; Documents analysis; Education for sustainable development; High educations; National-policy; Pedagogical practices; Sustainability education; Technical content; Curricula,"This chapter explores the integration of sustainability education in Portuguese tourism higher education, focusing on the gap between institutional rhetoric and pedagogical practice. Framed by Education for Sustainable Development (ESD), transformative pedagogy, and curriculum theory, it examines na",,
HahInt_2025,Integrating Sustainability into Curriculum Design: The Case of the Reorganised Master in Business Management,Curriculum design; Education for sustainable development (ESD); Higher education institutions (HEI); Management education; Sustainability,"There has been notable advancement in integrating sustainable development into higher education institutions’ curricula. This has included research on curricula content, competences regarding sustainable development and pedagogical approaches used. However, there has been limited research on the spe",,
ReePut_2024,Putting Sustainable Development at the Heart of Transnational Education: Principles and Practice from a UK-UAE Partnership,Education for sustainable development; International higher education; Sustainable development goals; Transnational education,"Transnational Education (TNE) is a significant and growing area of activity for higher education institutions, through which universities establish overseas partnerships or campuses to enable international students to study close to home to achieve internationally recognised qualifications. Whilst T",,
VarSca_2016,Scaling up the Woven Filigree: (un)Common Systemic Thinking to Embedding Sustainability into the Curriculum in a Large-Scale Higher Education Institution in the UK,Barriers; Case study; Environmental management system; Higher education for sustainable development; Practice; Strategy,"Education for Sustainable Development (ESD) is taking a rich variety of shapes and forms around the globe depending on cultures, resources, and general contexts. In addition, there is a growing but relatively small amount of research and guidance on embedding sustainability into the formal curriculu",,
SchApp_2024,Applying Design Thinking to Support Education for Sustainable Development in Higher Education,Design Thinking; ESD; Gestaltungskompetenz; Higher Education; Mindset,"Education for Sustainable Development (ESD) is a holistic concept that addresses the global challenges of our interconnected world in environmental, economic, and social terms. It aims to empower people to act responsibly for ecological integrity, economic viability, and equitable society, to recogn",,
HemSus_2021,Sustainability concept (whole-institution approach) of the catholic university of eichstätt-ingolstadt (Germany),Structural implementation; Sustainability; Transformation; University; Whole-Institution Approach,"The Catholic University of Eichstätt-Ingolstadt (KU) is one of the few universities in Germany that consequently follow a whole-institution approach with their overall sustainability concept. Already in 2010, the KU had agreed on a sustainability concept that stipulates objectives and measures for t",,
BalTea_2016,Teaching Education for Sustainable Development at University Level: A Case Study from the Philippines,Climate change mitigation and adaptation; Education for sustainable development; Environmental conservation,"In response to UNESCOâ€™s Agenda 21, the Philippine initiative to assimilate Education for Sustainable Development (ESD) in tertiary education is enunciated in the Commission on Higher Educationâ€˜s Strategic Plan for 2011â€“2016, which contains the roadmap to reform higher education institutions (H",,
YanHig_2022,"Higher Education for Sustainable Development in China: Policies, Curriculum, Research, and Outreach Activities, and Campus Practices",,Higher education institutions (HEIs) play increasingly crucial roles in helping societies to realize the Sustainable Development Goals (SDGs) and inform the generations to become sustainability leaders of the future. The Chinese government strategically recognized “low carbon” as a catalyst for faci,,
NisInc_2018,Inclusion of Sustainability in Higher Education Institutions: A Comparative Study of SÃ£o Carlos School of Engineeringâ€”University of SÃ£o Paulo and the Leuphana University of LÃ¼neburg,EESC; Higher education for sustainable development; Leuphana; Sustainability assessment tools,This work consists of conducting a comparative analysis of sustainability integration in Leuphana University of LÃ¼neburg and SÃ£o Carlos School of Engineering EESC/USP. The importance of this paper is to highlight the fundamental role of sustainability in Higher Education Institutions and how is th,,
