id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
386	Sivapalan (2016)	-2.2036	-0.9899	11	38	40	16	2016	<b>Engineering education for sustainable development in malaysia: Student stakeholders perspectives on the integration of holistic sustainability competences within undergraduate engineering programmes</b><br><i>World Sustainability Series</i><br>Year: 2016<br>Citations: 16	https://doi.org/10.1007/978-3-319-26734-0_17
387	Yang (2022)	-2.4273	-0.826	11	60	85	8	2022	<b>Higher Education for Sustainable Development in China: Policies, Curriculum, Research, and Outreach Activities, and Campus Practices</b><br><i>Sustainable Development Goals Series</i><br>Year: 2022<br>Citations: 8	https://doi.org/10.1007/978-3-031-07191-1_8
388	Nishimura (2018)	-0.775	2.1734	7	1	1	3	2018	<b>Inclusion of Sustainability in Higher Education Institutions: A Comparative Study of SÃ£o Carlos School of Engineeringâ€”University of SÃ£o Paulo and the Leuphana University of LÃ¼neburg</b><br><i>World Sustainability Series</i><br>Year: 2018<br>Citations: 3	https://doi.org/10.1007/978-3-319-76885-4_27
389	Iliško (2016)	-2.2978	-0.799	11	110	148	12	2016	<b>Inquiry-Based Educational Course in Higher Education Towards Sustainable Communities: A Case Study</b><br><i>World Sustainability Series</i><br>Year: 2016<br>Citations: 12	https://doi.org/10.1007/978-3-319-32928-4_9
390	Emblen-Perry (2018)	-0.2758	2.6238	6	39	49	5	2018	<b>Promoting Education for Sustainability Through Game-Based Learning: Using the Sustainable Strategies Game to Improve Students’ Knowledge and Skills of Sustainable Business Practices</b><br><i>World Sustainability Series</i><br>Year: 2018<br>Citations: 5	https://doi.org/10.1007/978-3-319-63007-6_51
391	Benavides (2022)	-0.3781	2.2857	6	20	24	3	2022	<b>Study Abroad Programs at the Vanguard for Education for Sustainable Development: A Teacher Education Case Study</b><br><i>Sustainable Development Goals Series</i><br>Year: 2022<br>Citations: 3	https://doi.org/10.1007/978-3-031-07191-1_9
392	Hindley (2018)	-2.0545	-0.9709	11	8	9	13	2018	<b>A unifying, boundary-crossing approach to developing climate literacy</b><br><i>World Sustainability Series</i><br>Year: 2018<br>Citations: 13	https://doi.org/10.1007/978-3-319-70281-0_16
393	Emblen-Perry (2019)	0.4218	2.5305	5	182	306	2	2019	<b>Closing graduates’ sustainability skills gaps by using the university as a live sustainability case study</b><br><i>World Sustainability Series</i><br>Year: 2019<br>Citations: 2	https://doi.org/10.1007/978-3-030-15864-4_17
394	Kļaviņš (2021)	-2.2277	-1.0171	11	31	31	3	2021	<b>Education for sustainable development: A university perspective</b><br><i>World Sustainability Series</i><br>Year: 2021<br>Citations: 3	https://doi.org/10.1007/978-3-030-63399-8_18
395	Fischer (2023)	-0.4309	2.3437	6	98	115	4	2023	<b>Education for Sustainability at Distance and Online Learning Universities: Methodologies and Good Practices for Educating Sustainability Experts and Leaders of the Future</b><br><i>World Sustainability Series</i><br>Year: 2023<br>Citations: 4	https://doi.org/10.1007/978-3-031-22856-8_9
396	Rooney-Varga (2014)	-0.9192	2.3895	6	2	3	44	2014	<b>Student Media Production to Meet Challenges in Climate Change Science Education</b><br><i>Journal of Geoscience Education</i><br>Year: 2014<br>Citations: 44	https://doi.org/nan
397	Sims (2013)	-2.2967	-0.8988	11	96	123	58	2013	<b>Developing Competencies for Education for Sustainable Development: A Case Study of Canadian Faculties of Education</b><br><i>International Journal of Higher Education</i><br>Year: 2013<br>Citations: 58	https://doi.org/nan
398	Oguz Ozdemir (2024)	-2.4179	-1.064	11	29	37	5	2024	<b>The Correlation between Dimensions of Sustainability Literacy: The Case of British and Turkish Students</b><br><i>Science Insights Education Frontiers</i><br>Year: 2024<br>Citations: 5	https://doi.org/nan
399	Ozdemir (2023)	-2.4262	-1.038	11	31	45	8	2023	<b>The Sustainability Literacy of Students: A Comparative Study between Turkey and the UK</b><br><i>Science Insights Education Frontiers</i><br>Year: 2023<br>Citations: 8	https://doi.org/nan
