34	70	2
34	71	2
34	77	1
34	80	1
34	82	1
34	83	1
34	84	1
34	87	2
34	89	2
34	93	1
34	97	2
34	101	1
34	103	1
34	106	1
34	108	1
34	113	3
34	114	2
35	36	2
35	58	5
35	59	1
35	68	1
35	72	2
35	75	1
35	87	1
35	91	1
35	99	1
35	107	1
35	108	1
35	117	1
36	37	4
36	38	6
36	40	3
36	41	1
36	44	4
36	45	1
36	46	2
36	47	2
36	52	1
36	55	2
36	56	3
36	58	41
36	59	1
36	61	2
36	63	2
36	66	1
36	67	1
36	68	3
36	70	3
36	71	1
36	73	2
36	77	3
36	80	5
36	82	1
36	83	3
36	87	2
36	89	2
36	91	1
36	93	1
36	94	1
36	97	1
36	99	2
36	100	1
36	102	2
36	103	1
36	104	1
36	106	1
36	108	7
36	112	2
36	113	3
36	114	2
36	115	1
36	117	1
37	38	9
37	40	2
37	41	2
37	42	1
37	44	3
37	46	1
37	53	2
37	54	3
37	55	1
37	56	3
37	58	18
37	60	2
37	62	1
37	67	1
37	68	4
37	70	2
37	71	2
37	73	2
37	77	1
37	80	1
37	82	1
37	83	1
37	87	2
37	89	3
37	93	2
37	98	1
37	99	3
37	101	1
37	102	1
37	103	1
37	106	4
37	107	1
37	108	5
37	112	2
37	113	2
38	40	3
38	41	1
38	44	6
38	46	2
38	48	1
38	53	1
38	55	2
38	56	1
38	58	23
38	60	2
38	63	3
38	67	1
38	68	3
38	70	4
38	71	1
38	73	1
38	75	1
38	77	2
38	80	6
38	82	1
38	83	4
38	87	2
38	89	3
38	93	3
38	97	1
38	98	1
38	99	2
38	103	2
38	106	4
38	107	2
38	108	7
38	112	1
38	113	1
38	114	1
38	117	1
39	44	1
39	48	1
39	55	1
39	56	1
39	58	3
39	60	1
39	65	1
39	68	1
39	80	2
39	85	1
39	101	1
39	106	1
39	113	1
40	41	4
40	42	2
40	43	1
40	44	4
40	46	1
40	48	1
40	53	1
40	54	1
40	55	1
40	56	1
40	58	20
40	67	1
40	68	4
40	70	3
40	71	4
40	73	1
40	75	1
40	76	1
40	77	4
40	80	3
40	82	4
40	83	1
40	84	1
40	85	1
40	87	2
40	89	3
40	91	1
40	93	1
40	99	2
40	100	1
40	101	1
40	103	1
40	104	1
40	105	1
40	106	3
40	107	1
40	108	2
40	112	1
40	113	4
40	114	3
40	115	1
41	44	1
41	55	1
41	58	10
41	63	1
41	68	2
41	77	2
41	82	1
41	87	1
41	89	2
41	93	1
41	103	1
41	106	1
41	108	1
41	112	2
41	113	1
41	114	1
42	56	1
42	58	9
42	78	1
42	80	1
42	82	1
42	84	2
42	107	1
42	113	1
43	58	3
43	68	2
43	73	1
43	81	1
43	99	1
43	115	1
44	46	2
44	48	2
44	55	2
44	56	1
44	58	15
44	60	1
44	65	1
44	67	1
44	68	3
44	70	4
44	71	2
44	73	1
44	77	3
44	80	6
44	82	1
44	83	2
44	84	2
44	85	2
44	87	2
44	89	3
44	93	1
44	101	1
44	103	1
44	106	3
44	108	3
44	112	1
44	113	2
44	114	1
44	117	1
45	55	1
45	58	2
45	68	1
45	71	2
45	89	2
45	94	2
45	106	1
46	55	1
46	58	7
46	65	1
46	67	1
46	68	1
46	70	2
46	71	1
46	80	2
46	82	1
46	83	2
46	87	3
46	89	1
46	93	1
46	98	1
46	103	3
46	106	1
46	108	2
46	113	1
47	56	1
47	58	3
47	61	1
47	68	1
47	70	1
47	80	1
47	104	1
47	112	1
48	54	1
48	55	1
48	56	1
48	58	7
48	60	1
48	65	1
48	68	1
48	70	2
48	71	1
48	77	1
48	80	3
48	83	1
48	84	1
48	85	2
48	101	1
48	106	3
48	113	2
48	114	2
50	54	1
50	75	2
51	58	1
51	83	1
51	112	1
52	54	1
52	55	1
52	58	4
52	61	1
52	97	1
52	100	1
52	102	1
52	114	1
53	56	2
53	58	6
53	60	1
53	70	1
53	98	1
53	99	1
53	107	1
53	112	1
53	114	1
54	55	1
54	58	7
54	62	1
54	63	1
54	70	1
54	72	2
54	73	1
54	75	1
54	80	2
54	84	1
54	94	2
54	99	2
54	102	1
54	113	1
54	114	1
55	56	1
55	58	5
55	60	1
55	65	1
55	67	1
55	68	3
55	69	4
55	70	1
55	71	2
55	77	1
55	80	3
55	82	1
55	83	1
55	85	2
55	87	1
55	89	2
55	93	1
55	97	1
55	101	2
55	102	1
55	103	1
55	106	1
55	108	2
55	113	2
56	58	11
56	60	2
56	61	1
56	65	1
56	68	2
56	70	1
56	71	1
56	78	1
56	80	1
56	85	1
56	87	2
56	89	3
56	97	2
56	101	2
56	102	1
56	104	1
56	106	1
56	108	1
56	110	1
56	112	2
56	113	3
56	114	2
57	58	3
57	108	1
58	59	3
58	60	3
58	61	4
58	62	5
58	63	9
58	65	1
58	66	2
58	67	3
58	68	16
58	70	10
58	71	7
58	72	6
58	73	3
58	75	6
58	76	2
58	77	10
58	78	4
58	80	30
58	81	7
58	82	2
58	83	4
58	84	4
58	85	4
58	87	6
58	89	9
58	91	6
58	93	3
58	94	4
58	97	3
58	98	6
58	99	8
58	100	5
58	101	6
58	102	4
58	103	8
58	104	2
58	105	2
58	106	12
58	107	6
58	108	13
58	110	1
58	111	5
58	112	8
58	113	17
58	114	11
58	115	1
58	117	11
58	118	3
59	91	1
60	65	1
60	68	1
60	80	2
60	85	1
60	101	1
60	106	2
60	107	1
60	113	1
61	70	1
61	71	1
61	100	1
61	104	1
61	112	1
61	114	1
62	77	1
62	80	1
62	118	1
63	80	1
63	93	1
63	108	1
63	112	1
63	117	1
65	68	1
65	80	1
65	85	1
65	87	1
65	101	1
65	108	1
65	113	1
67	68	1
67	70	1
67	71	1
67	80	1
67	82	1
67	83	1
67	87	1
67	89	1
67	93	1
67	94	1
67	103	1
67	106	1
67	108	1
67	113	1
67	114	1
67	117	1
68	70	2
68	71	2
68	73	1
68	77	1
68	80	4
68	81	1
68	82	1
68	83	1
68	85	1
68	87	3
68	89	4
68	93	1
68	98	1
68	99	1
68	101	3
68	103	2
68	106	3
68	108	2
68	111	1
68	113	3
68	114	2
68	115	1
68	117	1
69	70	1
70	71	2
70	75	1
70	77	1
70	80	4
70	82	1
70	83	3
70	84	1
70	87	1
70	89	1
70	93	1
70	97	1
70	103	1
70	104	1
70	106	2
70	108	1
70	112	1
70	113	2
70	114	3
71	77	2
71	80	2
71	82	1
71	83	1
71	84	1
71	87	2
71	89	3
71	93	1
71	94	1
71	101	2
71	103	1
71	106	2
71	108	1
71	113	3
71	114	2
72	80	3
72	84	1
72	91	1
72	94	1
72	97	1
72	103	1
72	108	1
72	113	1
72	114	1
73	77	1
73	99	1
73	115	1
75	83	1
75	85	1
75	91	1
75	107	1
75	113	1
76	104	1
77	80	3
77	84	1
77	89	3
77	105	1
77	106	1
77	108	1
77	112	1
77	114	1
78	80	1
80	82	2
80	83	2
80	84	1
80	85	2
80	87	3
80	89	2
80	91	4
80	93	1
80	94	2
80	97	1
80	99	1
80	101	1
80	103	1
80	106	5
80	108	3
80	113	2
80	114	1
80	116	1
80	117	5
81	91	1
81	117	1
82	83	1
82	87	1
82	89	1
82	93	1
82	96	1
82	103	1
82	106	1
82	107	1
82	108	1
82	113	1
83	87	1
83	89	1
83	93	1
83	103	1
83	106	2
83	108	1
83	112	2
83	113	1
83	118	1
