id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
553	Social Science Quarterly	-2.2291	0.7872	17	6	12	2			
554	International Journal of Research on Service-Learning and Community Engagement	-1.3935	2.2616	13	3	6	2			
555	Eos	1.0412	2.298	8	0	0	2			
556	Cambridge Journal of Education	-0.6104	2.3186	12	23	65	7			
557	Journal of Teacher Education	2.3637	0.042	1	36	128	12			
558	Quality & Quantity	-0.8786	2.2821	13	11	27	4			
559	Water Research	-1.1974	2.3855	13	4	8	2			
560	Physical Geography	1.5161	1.906	6	5	10	3			
561	IEEE Transactions on Education	1.6475	1.9986	6	8	17	4			
562	The Journal of Nervous and Mental Disease	2.2247	0.0505	1	10	23	4			
563	New Directions for Teaching and Learning	-1.0269	2.1644	13	20	57	7			
564	Review of General Psychology	2.5072	0.3885	1	8	16	2			
565	Daedalus	1.5432	1.9999	6	3	6	2			
566	Frontiers in Education	2.4804	-0.0313	1	86	325	27			
567	Frontiers in Communication	-1.0345	2.0699	13	3	6	2			
568	Educational Researcher	2.4486	0.0031	1	93	302	24			
569	Journal of Environmental Psychology	1.7465	1.7919	6	121	445	25			
570	IFAC-PapersOnLine	-1.1071	2.5593	13	4	8	2			
571	OpenGrey (Institut de l'Information Scientifique et Technique)	-0.6692	1.9317	12	4	8	3			
572	The Science of The Total Environment	1.7422	1.7707	6	42	128	13			
573	One Earth	1.7413	2.0402	6	4	8	2			
574	Lancaster EPrints (Lancaster University)	-2.2396	1.2575	17	14	31	3			
575	Journal of Education and Learning (EduLearn)	-1.1757	2.0643	13	2	4	2			
576	Expert Systems with Applications	-0.8489	2.1311	13	3	6	2			
577	The Proceedings of the ASEAN School of Business Network International Conference	-0.7698	2.1091	13	9	18	2			
578	Professional and practice-based learning	2.5543	0.1908	2	5	10	2			
579	The Design Journal	1.5658	1.5091	6	6	13	4			
580	National Academies Press eBooks	2.5332	0.3014	1	4	9	3			
581	Journal of Policy Analysis and Management	1.7947	1.7712	6	13	29	4			
582	American Journal of Community Psychology	-2.1017	0.8279	17	3	7	3			
583	Trends in Higher Education	-0.9684	2.5748	13	2	4	2			
584	Education Sustainability & Society	1.7766	1.9748	6	5	10	2			
585	Journal of Knowledge Management	2.5031	0.4946	2	15	39	4			
586	Journal of Political Science Education	1.5776	1.6696	6	7	17	3			
587	Journal of global entrepreneurship research	1.432	1.7347	6	5	10	2			
588	Proceedings of the Design Society	-1.2134	1.9845	13	1	2	2			
589	Research in Dance Education	1.8225	1.6891	6	4	8	2			
590	Computers and Education Artificial Intelligence	-2.6153	1.0568	17	6	12	2			
591	Journal of Chemical Education	2.6196	0.0129	1	39	119	11			
592	Cogent Business & Management	2.4737	0.5166	2	27	69	6			
593	CSR, sustainability, ethics & governance	2.5542	0.5282	2	12	29	4			
594	Academy of Management Review	-0.9849	2.2213	13	30	89	10			
595	Palgrave Macmillan US eBooks	-0.8333	2.3132	13	4	10	3			
596	American Journal of Distance Education	-0.6028	2.5739	12	11	29	4			
597	Nature Geoscience	-1.0762	2.4866	13	4	8	2			
598	Journal of Management Development	2.4132	0.2819	2	20	64	8			
599	Computers in Human Behavior	2.5195	0.0701	1	59	174	12			
600	OpenMETU (Middle East Technical University)	1.4236	1.7783	6	3	6	2			
601	Journal of Philosophy of Education	2.235	0.2015	1	8	16	3			
602	HAL (Le Centre pour la Communication Scientifique Directe)	-1.079	2.5644	13	3	6	2			
603	Formación universitaria	-1.0158	2.4822	13	5	14	4			
604	Design Studies	-0.838	2.2759	12	7	15	3			
605	Geography Compass	2.2106	0.357	2	8	17	3			
606	Technology in Society	1.757	2.1	6	5	10	2			
607	Applied Environmental Education & Communication	1.7634	1.928	6	46	149	14			
608	Management Teaching Review	-0.7905	2.3439	13	3	6	2			
609	Sociological Methods & Research	1.4588	1.7292	6	4	8	2			
610	European Journal of Engineering Education	1.7338	1.9	6	103	359	25			
611	Energy Policy	2.4752	0.5551	2	17	44	6			
612	British Educational Research Journal	-0.5826	2.3181	12	18	62	8			
613	REGEPE - Revista de Empreendedorismo e Gestão de Pequenas Empresas	-0.9222	2.5614	13	2	4	2			
614	Revista Complutense de Educación	-2.7986	-0.0048	20	12	28	4			
615	Informe de los Objetivos de desarrollo sostenible ...	-1.1232	2.0573	13	2	4	2			
616	Journal of Social Sciences	-0.4962	2.3897	12	30	81	7			
617	Business Ethics Quarterly	-0.9724	1.8999	13	1	2	2			
618	International Journal of Training and Development	-0.7332	2.2718	12	7	14	2			
619	ReVision	-0.7469	2.6126	12	4	8	2			
620	Organization	2.4714	0.1904	2	9	19	3			
621	Sustainability	-1.0302	2.2978	13	850	5020	260			
622	Communication Education	2.2141	0.3012	1	7	14	2			
623	Ecological Modelling	1.9583	1.6445	6	4	8	2			
624	European Journal of Higher Education	-2.3764	1.1075	17	10	22	3			
625	Qualitative Research in Organizations and Management An International Journal	-0.371	2.534	12	8	16	2			
626	International Journal of Technology Enhanced Learning	-0.6074	2.6126	12	6	12	2			
627	International Journal of Disaster Risk Reduction	1.9529	1.8742	6	3	6	2			
628	Research in Science Education	1.6736	1.7729	6	20	53	6			
629	Environmental Impact Assessment Review	-1.0507	2.3462	13	19	47	5			
630	Journal of Educational Change	-0.9529	2.0673	13	5	12	3			
631	European Journal of Operational Research	-1.1493	2.1548	13	5	11	3			
632	Biometrika	-1.2634	2.1653	13	3	6	2			
633	Urban Studies	1.6517	1.6797	6	5	13	3			
634	International Journal of Science and Research Archive	-0.7926	2.127	13	10	21	3			
635	Sustainable Cities and Society	-0.9696	2.3243	13	17	49	7			
636	Communications in computer and information science	-1.3939	2.2958	13	2	4	2			
637	Psychological Review	2.47	0.1206	1	51	142	9			
638	European Journal of Innovation Management	1.7509	1.7433	6	16	37	3			
639	International Journal of Research and Innovation in Social Science	-1.0974	2.4509	13	4	8	2			
640	Journal of International Development	-0.7169	2.2731	13	2	4	2			
641	Programme for international student assessment/Internationale Schulleistungsstudie	1.8509	1.7338	6	6	12	2			
642	Nature	-0.5838	2.412	12	90	302	22			
643	Indiana Magazine of History (Indiana University)	-0.5559	2.2537	12	15	33	4			
644	Systems Research and Behavioral Science	2.6596	0.0471	1	14	51	8			
645	Journal of Epidemiology & Community Health	1.7401	1.5617	6	4	8	2			
646	Information Sciences	-1.2131	2.2844	13	5	10	2			
647	Journal of Adult and Continuing Education	1.7034	1.9567	6	13	30	3			
648	Agriculture and Human Values	-1.0951	2.1063	13	6	12	2			
649	Practice, progress, and proficiency in sustainability	2.3105	0.3871	2	25	74	8			
650	Quality Assurance in Education	2.4952	0.1412	2	9	21	3			
651	Journal of Sustainable Tourism	2.5365	0.4123	2	28	81	7			
652	Applied Sciences	-1.0975	2.3187	13	11	27	4			
653	BMC Medical Research Methodology	-1.8353	1.2797	17	8	20	3			
654	The International Journal for Academic Development	-0.9392	2.3283	13	20	60	8			
655	International Journal of Evaluation and Research in Education (IJERE)	1.4999	2.1324	6	3	6	2			
656	IEEE Transactions on Learning Technologies	2.7573	-0.0917	1	10	20	2			
657	Journal of Curriculum Studies	1.6326	1.8292	6	29	92	10			
658	Zeitschrift für Wirtschafts- und Unternehmensethik	-0.6766	2.6361	12	5	10	2			
659	Climatic Change	1.7801	1.8249	6	43	126	11			
660	Impact Assessment and Project Appraisal	-1.1173	2.3714	13	8	20	3			
661	Language Learning in Higher Education	-1.0471	2.652	13	2	4	2			
662	Warwick Research Archive Portal (University of Warwick)	-1.3191	2.0921	13	1	2	3			
663	International Journal of Higher Education	-0.9991	2.2918	13	23	77	9			
664	Contemporary Educational Psychology	-0.9467	2.3711	13	11	28	6			
665	Nordic Studies in Science Education	-1.1769	2.478	13	3	6	2			
666	Science Advances	-0.7061	2.3238	12	18	48	6			
667	Research in Higher Education	1.5506	1.9077	6	10	23	3			
668	Journal of Management Inquiry	2.5949	0.3986	2	8	17	3			
669	Regional Environmental Change	0.6079	2.4084	9	0	0	2			
670	Studies in Higher Education	-2.2626	1.2051	17	148	556	37			
671	Sociological Inquiry	-1.9891	1.2261	17	7	17	3			
672	Journal of Education and Learning	1.5659	2.1378	6	5	10	2			
673	AAOU Journal/AAOU journal	1.667	2.0194	6	10	23	3			
674	Cleaner and Responsible Consumption	1.8208	1.919	6	10	26	4			
675	Public Opinion Quarterly	-0.8336	2.4191	13	3	6	2			
676	oekom verlag eBooks	-0.728	2.4992	12	10	27	5			
677	Psychology Press eBooks	-2.1447	1.126	17	42	106	8			
678	Review of higher education/The review of higher education	-2.1012	1.0881	17	39	101	7			
679	Journal of Travel Research	-1.1404	2.5257	13	6	12	2			
680	Murdoch Research Repository (Murdoch University)	-0.7831	2.4654	13	2	4	2			
681	Environmental and Climate Technologies	1.6984	1.9755	6	9	23	3			
682	Biodiversity and Conservation	-0.7404	1.9951	13	2	4	2			
683	Administration and Policy in Mental Health and Mental Health Services Research	-0.7741	2.6035	13	1	2	2			
684	Journal of Green Building	1.5205	2.0347	6	3	6	2			
685	OECD eBooks	2.8222	0.3864	2	7	16	3			
686	Contemporary Sociology A Journal of Reviews	1.7612	1.8635	6	50	145	11			
687	Cogent Arts and Humanities	-0.7643	2.094	13	9	18	2			
688	npj Climate Action	1.8349	1.7669	6	7	15	3			
689	International Journal of Entrepreneurial Behaviour & Research	2.3152	0.5513	2	13	33	4			
690	Marine Pollution Bulletin	2.1764	-0.1363	1	4	8	2			
691	Geography and sustainability	-1.0347	2.2567	13	38	138	14			
