id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
293	sustainability knowledge	2.8236	0.0571	1	3	6	2	2023.0		
294	faculty development	-2.4159	0.1881	5	4	9	3	2024.0		
295	academic staff	-2.6685	0.2363	5	1	2	2	2023.0		
296	work	1.7228	2.1154	2	1	2	2	2023.5		
297	switzerland	2.0159	1.4812	2	2	4	2	2022.0		
298	environmental knowledge	-2.2017	-0.0917	5	1	2	3	2020.67		
299	laboratories	-2.5997	0.3315	5	1	2	2	2019.0		
300	educational innovation	2.0511	1.528	2	1	2	2	2020.0		
301	student learning	-2.4802	-0.2235	5	7	14	3	2024.67		
302	high educations	-2.5108	-0.1038	5	21	87	13	2024.38		
303	interdisciplinary	2.01	2.0434	2	1	2	4	2023.25		
304	quality education	1.6431	1.6165	2	5	11	6	2024.67		
305	social responsibility	-2.7373	0.1695	5	2	4	2	2020.5		
306	world	2.5982	-0.2656	1	2	4	3	2022.33		
307	csr	2.5441	-0.4103	1	2	4	2	2023.5		
308	management education	1.7986	1.9999	2	3	6	4	2022.25		
309	higher education institution	1.4585	1.9642	2	1	2	5	2022.6		
310	service learning	1.8085	1.8997	2	4	10	9	2022.89		
311	accounting	-2.2329	-0.1457	5	1	2	2	2024.5		
312	teaching methods	1.5368	1.9288	2	1	3	5	2022.2		
313	pre-service teachers	-2.3929	-0.2514	5	2	4	2	2019.0		
314	circular economy	-2.3552	-0.0324	5	3	8	4	2022.5		
315	action research	-2.707	0.0125	5	2	5	4	2019.75		
316	2030 agenda	2.0587	2.0016	2	1	2	3	2022.67		
317	key competencies in sustainability	2.614	-0.3892	1	1	2	2	2025.0		
318	course content	-2.4563	0.2502	5	4	8	2	2019.0		
319	business schools	1.7328	2.0609	2	4	8	3	2021.67		
320	digital-learning	-2.6357	-0.1967	5	3	6	2	2025.5		
321	computer aided instruction	-2.4468	-0.1718	5	8	18	3	2025.0		
322	electrostatic devices	-2.4579	-0.0349	5	10	33	6	2020.67		
323	preservice teachers	1.6185	1.937	2	4	10	4	2023.25		
324	multiple literacies	0.024	-2.1029	7	1	2	2	2023.5		
325	thinking skills	1.7869	2.0972	2	1	2	2	2024.5		
326	sdg	2.7947	0.2001	1	2	4	3	2022.33		
327	qaa and hea guidance	1.5984	1.5955	2	2	4	2	2018.0		
