id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
433	Aristotle University of Thessaloniki	-0.6563	-2.4235	160	0	0	1	2024.0		
434	Dalarna University	-0.2264	2.3413	62	3	3	1	2024.0		
435	Karolinska Institutet	-0.1075	2.446	62	3	3	1	2024.0		
436	Danderyds sjukhus	-0.2029	2.5721	62	3	3	1	2024.0		
437	Munich University of Applied Sciences	-0.4941	-2.4089	161	0	0	2	2016.5		
438	University of the Western Cape	-0.6587	-2.244	162	1	1	1	2025.0		
439	Cape Peninsula University of Technology	-0.2173	-2.6787	162	1	1	1	2025.0		
440	Beijing Hospital	-0.4676	-2.2145	163	2	2	1	2025.0		
441	Northern University of Malaysia	-0.0953	-2.5159	163	2	2	1	2025.0		
442	Mahasarakham University	-0.5425	-2.6877	163	2	2	1	2025.0		
443	Universiti Sains Malaysia	-1.471	2.2558	77	1	1	3	2020.0		
444	DePaul University	-0.2085	-2.2326	164	3	3	1	2025.0		
445	Community Initiatives	-0.0487	-2.5724	164	3	3	1	2025.0		
446	University of Uyo	-0.3888	-2.7316	164	3	3	1	2025.0		
447	Northeastern Illinois University	-0.5487	-2.3918	164	3	3	1	2025.0		
448	Budapest University of Economics and Business	-0.3278	-2.2313	165	2	2	1	2026.0		
449	International Business School	0.0446	-2.5328	165	2	2	1	2026.0		
450	Budapest University of Technology and Economics	-0.4026	-2.7045	165	2	2	1	2026.0		
451	International University of Business Agriculture and Technology	-0.2202	-2.561	166	0	0	1	2026.0		
452	Midlands State University	-1.5779	2.1251	77	2	2	1	2021.0		
453	World Health Organization - Zimbabwe	-1.5781	2.0239	77	2	2	1	2021.0		
454	Rhodes University	-0.0619	-2.4836	167	0	0	1	2018.0		
455	Blekinge Institute of Technology	-0.0051	-2.4826	168	0	0	1	2020.0		
456	Technische Universität Dresden	-0.4812	-2.7353	158	1	1	1	2026.0		
457	Anglia Ruskin University	0.0188	-2.4878	169	0	0	1	2023.0		
458	Rajamangala University of Technology Rattanakosin	0.1379	-2.5327	170	0	0	1	2024.0		
459	Krakow University of Economics	0.2868	-2.4688	171	0	0	1	2020.0		
460	University of the Fraser Valley	-2.279	-0.1822	112	1	1	1	2022.0		
461	Hacettepe University	0.2041	-2.4532	172	0	0	1	2026.0		
462	Sultan Zainal Abidin University	0.1129	-2.2603	173	1	1	2	2026.0		
463	Universiti Malaysia Kelantan	0.5543	-2.695	173	1	1	1	2026.0		
464	Åbo Akademi University	-0.8863	-2.6412	155	1	1	1	2025.0		
465	Malikussaleh University	0.3545	-2.4279	174	0	0	1	2025.0		
466	North China University of Technology	0.5305	-2.496	175	0	0	1	2021.0		
467	Bogdan Khmelnitsky Melitopol State Pedagogical University	0.5897	-2.42	176	0	0	1	2020.0		
468	Saint Peter's University	0.7002	-2.1749	177	3	3	1	2020.0		
469	Fordham University	0.8601	-2.5147	177	3	3	1	2020.0		
470	City University of New York	0.52	-2.6739	177	3	3	1	2020.0		
471	John Jay College of Criminal Justice	0.3601	-2.3341	177	3	3	1	2020.0		
472	Universitat Jaume I	0.7193	-2.3114	178	0	0	1	2025.0		
473	Universidad Nacional Autónoma de México	2.4484	-0.3465	2	2	2	1	2017.0		
474	IHE Delft Institute for Water Education	2.4021	-0.3356	2	2	2	1	2017.0		
475	Heriot-Watt University	2.3511	0.7451	13	5	5	1	2022.0		
476	South African College of Applied Psychology	2.3839	0.769	13	5	5	1	2022.0		
477	University of Lagos	2.3161	0.779	13	5	5	1	2022.0		
478	University of Sydney	2.3032	0.7405	13	5	5	1	2022.0		
479	Purdue University West Lafayette	0.7334	-2.4239	179	0	0	1	2024.0		
480	University of Nottingham Ningbo China	0.7681	-2.405	180	0	0	1	2021.0		
481	Prague University of Economics and Business	0.6582	-2.123	181	1	1	1	2025.0		
482	Universitat de Barcelona	1.0996	-2.5578	181	1	1	1	2025.0		
483	University of South Africa	0.9406	-2.2977	182	0	0	1	2025.0		
484	FC Barcelona	1.658	1.9985	28	1	1	1	2017.0		
485	Gulf University for Science & Technology	1.0232	-2.2458	183	0	0	1	2024.0		
486	University of Zululand	0.8527	-2.0405	184	1	1	2	2022.5		
487	University of Erfurt	1.1372	-2.154	185	0	0	1	2024.0		
488	Humboldt-Universität zu Berlin	1.1856	-2.0578	186	0	0	1	2025.0		
489	Avrasya University	2.4392	-0.0305	2	2	2	1	2025.0		
490	University of Rostock	2.4917	-0.0354	2	2	3	2	2025.0		
491	VIA University College	1.2914	-2.202	187	0	0	1	2025.0		
492	Fundação Dom Cabral	1.0188	2.5273	41	3	3	1	2025.0		
493	Centro Universitário do Norte	0.929	2.5557	41	3	3	1	2025.0		
494	Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul	0.8829	2.4733	41	3	3	1	2025.0		
495	Østfold University College	-0.6124	2.6927	62	1	1	1	2025.0		
496	Colorado State University	1.2669	-2.0987	188	0	0	1	2025.0		
497	Pascual Bravo Institution University	-2.2759	-1.2061	134	1	1	1	2025.0		
498	University of Malaya	1.0802	2.3168	38	1	1	1	2025.0		
499	Curtin University	1.3686	-2.0491	189	0	0	1	2026.0		
500	University Canada West	1.4616	-2.0487	190	0	0	1	2025.0		
